,title,month,year,Polarity,Subjectivity
146,EV Startup Raptee Rolls Out Production-ready E-motorcycle From Chennai Plant,Apr,2024,0.0,0.0
147,Okaya EV’s Ferrato to Unveil First Electric Motorcycle in India,Apr,2024,0.25,0.3333333333333333
148,"Terra Charge Rolls Out Two New 3.3 kW EV Chargers to Cater to Fleet Operators, Premium Properties, Hotel Parking Lots",Apr,2024,0.13636363636363635,0.45454545454545453
149,Citroen Commences Exports of Made-in-India e-C3 EV,Apr,2024,0.0,0.0
150,Tata Passenger Electric Mobility inks MoU With Shell India for EV Charging Network,Apr,2024,0.0,0.0
151,Ultraviolette Launches 8 Lakh Kilometre Warranty for F77 Electric Motorcycle in India,Apr,2024,0.0,0.0
152,Tesla In Talks With RIL For EV Plant In India,Apr,2024,0.0,0.0
153,Bounce Infinity Launches Portable Liquid-cooled Battery for E-scooters in Collaboration With Clean Electric,Apr,2024,0.3666666666666667,0.7000000000000001
154,Zypp Electric Strengthens Leadership Team With 4 New Appointments,Apr,2024,0.13636363636363635,0.45454545454545453
155,Adani Unit to Set up EV Charging Stations at New MG Dealerships,Apr,2024,0.13636363636363635,0.45454545454545453
156,"Hyundai Motor, Kia to Partner with India’s Exide Energy on EV Batteries",Apr,2024,0.0,0.0
157,Electric Transport pioneer Byby e-Rickshaw and Digital Lender Revfin Sign MoU for E-rickshaw Finance,Apr,2024,0.0,0.0
158,"IPO-bound Ather Energy Launches its First Family Scooter ‘Rizta,’ Priced Rs 1,09,999 Onwards",Apr,2024,0.25,0.3333333333333333
159,Greaves Cotton Unit Inks EV Tech Transfer Agreement With Parts Maker Tsuyo,Apr,2024,0.0,0.0
160,Kia India To Bring Carens EV And Clavis EV,Apr,2024,0.0,0.0
161,DS Group Sets up Solar-powered EV Charging Stations for Employees,Apr,2024,0.0,0.0
162,Zypp Electric Registers 3X Revenue Growth in FY24,Apr,2024,0.0,0.0
163,"AMO Mobility Launches New Jaunty i Pro High-Speed EV Two-Wheeler, Plans to Manufacture 30,000 Vehicles by FY24-25",Apr,2024,0.13636363636363635,0.45454545454545453
164,Innovations in EV Charging Infrastructure,Apr,2024,0.0,0.0
165,Tesla to Scout Sites in India for $2 billion-$3 billion EV Factory,Apr,2024,0.0,0.0
166,Delta Electronics Launches EV Charging Solutions at Elecrama 2018,Apr,2024,0.0,0.0
167,Servotech Partners With Electra EV For Innovative EV Charging Technologies,Apr,2024,0.5,1.0
168,Ola Electric Raises $50 million in Debt Financing From EvolutionX Cap,Apr,2024,0.0,0.0
169,Medigus Subsidiary Completes Wireless EV Charging System,Apr,2024,0.0,0.0
170,"Zetwerk Bags Largest Order From Indian Oil to Set up Over 1,400 Fast Chargers for EVs",Mar,2024,0.2,0.6
171,Electric Vehicles: India’s Share in Global PV Market May Rise to 7% by 2040,Mar,2024,0.0,0.0
172,Karnataka to Set up EV Charging Stations in RTO Offices And Highways,Mar,2024,0.0,0.0
173,Fairdeal Motors Launches Ace EV for Sustainable Intra-city Cargo Transport in Jammu,Mar,2024,0.0,0.0
174,Tata Passenger Electric Mobility And HPCL Partner To Optimize EV Charging Infrastructure,Mar,2024,0.0,0.0
175,Maruti Plans to Introduce its First EV through NEXA,Mar,2024,0.25,0.3333333333333333
176,DG Innovate Enters MoU With EVage to Establish JV in India for Production of Pareta E-drives,Mar,2024,0.0,0.0
177,"Statiq, GLIDA Forge Partnership For Electric Vehicle Charging Services",Mar,2024,0.0,0.0
178,"Komaki SE, LY Electric Scooters With Dual Batteries Launched In India; Offer Up To 200 km Range",Mar,2024,0.0,0.0
179,"VAAN Launches Stelvio, Electric Mountain Bike",Mar,2024,0.0,0.0
180,Uno Minda And StarCharge Unveil New Partnership,Mar,2024,0.13636363636363635,0.45454545454545453
181,Okinawa Autotech Partners With ReadyAssist To Revolutionize EV Customer Support,Mar,2024,0.0,0.0
182,Tata Power Sets up EV Charging Points in Ayodhya,Mar,2024,0.0,0.0
183,Magma HDI Introduces the ‘Battery Secure Add On’ for Privately Owned Vehicles,Mar,2024,0.2,0.4875
