,Year,Maker,Total,MarketShare,Month,Sales
282,2020,Okinawa,7129,16%,Sept,584.0
283,2020,Ampere,6095,14%,Sept,317.0
284,2020,Ather,4401,10%,Sept,265.0
285,2020,Revolt,1793,4%,Sept,89.0
286,2020,Bajaj,1470,3%,Sept,231.0
287,2020,Pure,2080,5%,Sept,104.0
288,2020,Being,1151,3%,Sept,102.0
289,2020,Jitendra,639,1%,Sept,76.0
290,2020,Tvs,838,2%,Sept,25.0
291,2020,Others,3251,7%,Sept,194.0
292,2021,Hero,69235,27%,Sept,6652.0
293,2021,Okinawa,47926,19%,Sept,3322.0
294,2021,Ampere,25516,10%,Sept,807.0
295,2021,Ather,19981,8%,Sept,2175.0
296,2021,Pure,14969,6%,Sept,1337.0
297,2021,Ola,14405,6%,Sept,0.0
298,2021,Tvs,9740,4%,Sept,688.0
299,2021,Revolt,7641,3%,Sept,499.0
300,2021,Bajaj,7114,3%,Sept,381.0
301,2021,Being,7374,3%,Sept,337.0
302,2021,Jitendra,3875,2%,Sept,134.0
303,2021,Others,24865,10%,Sept,1627.0
304,2022,Ola,152779,21%,Sept,9898.0
305,2022,Okinawa,95939,13%,Sept,8499.0
306,2022,Hero,89874,12%,Sept,8210.0
307,2022,Ampere,87392,12%,Sept,6489.0
308,2022,Tvs,82109,11%,Sept,4002.0
309,2022,Ather,76939,11%,Sept,6281.0
310,2022,Bajaj,32805,5%,Sept,3650.0
311,2022,Okaya,13175,2%,Sept,954.0
312,2022,Revolt,12932,2%,Sept,865.0
313,2022,Pure,11556,2%,Sept,790.0
314,2022,Being,11018,2%,Sept,975.0
315,2022,Jitendra,8563,1%,Sept,661.0
316,2022,Others,52973,7%,Sept,3850.0
317,2023,Ola,241836,33%,Sept,18704.0
318,2023,Tvs,141801,20%,Sept,15612.0
319,2023,Ather,82527,11%,Sept,7191.0
320,2023,Bajaj,77286,11%,Sept,7105.0
321,2023,Ampere,49301,7%,Sept,4199.0
322,2023,Okinawa,19532,3%,Sept,1791.0
323,2023,Hero,11447,2%,Sept,845.0
324,2023,Okaya,12146,2%,Sept,884.0
325,2023,Bgauss,10776,1%,Sept,935.0
326,2023,Battre,4047,1%,Sept,258.0
327,2023,Kinetic,5108,1%,Sept,234.0
328,2023,Revolt,6269,1%,Sept,889.0
329,2023,Others,62060,9%,Sept,5421.0
330,2019,Hero,7865,29%,Oct,541.0
331,2019,Okinawa,10544,39%,Oct,1036.0
332,2019,Ather,2905,11%,Oct,140.0
333,2019,Ampere,2518,9%,Oct,176.0
334,2019,Revolt,1063,4%,Oct,89.0
335,2019,Others,1939,7%,Oct,154.0
336,2020,Hero,15956,36%,Oct,355.0
337,2020,Okinawa,7129,16%,Oct,558.0
338,2020,Ampere,6095,14%,Oct,786.0
339,2020,Ather,4401,10%,Oct,258.0
340,2020,Revolt,1793,4%,Oct,215.0
341,2020,Bajaj,1470,3%,Oct,222.0
342,2020,Pure,2080,5%,Oct,163.0
343,2020,Being,1151,3%,Oct,74.0
344,2020,Jitendra,639,1%,Oct,121.0
345,2020,Tvs,838,2%,Oct,26.0
346,2020,Others,3251,7%,Oct,175.0
347,2021,Hero,69235,27%,Oct,6687.0
348,2021,Okinawa,47926,19%,Oct,4167.0
349,2021,Ampere,25516,10%,Oct,1083.0
350,2021,Ather,19981,8%,Oct,2648.0
351,2021,Pure,14969,6%,Oct,1400.0
352,2021,Ola,14405,6%,Oct,0.0
353,2021,Tvs,9740,4%,Oct,486.0
354,2021,Revolt,7641,3%,Oct,900.0
355,2021,Bajaj,7114,3%,Oct,754.0
356,2021,Being,7374,3%,Oct,469.0
357,2021,Jitendra,3875,2%,Oct,283.0
358,2021,Others,24865,10%,Oct,1827.0
359,2022,Ola,152779,21%,Oct,16357.0
360,2022,Okinawa,95939,13%,Oct,14953.0
361,2022,Hero,89874,12%,Oct,8870.0
362,2022,Ampere,87392,12%,Oct,10115.0
363,2022,Tvs,82109,11%,Oct,5821.0
364,2022,Ather,76939,11%,Oct,7358.0
365,2022,Bajaj,32805,5%,Oct,3550.0
366,2022,Okaya,13175,2%,Oct,1968.0
367,2022,Revolt,12932,2%,Oct,1041.0
368,2022,Pure,11556,2%,Oct,1047.0
369,2022,Being,11018,2%,Oct,1422.0
370,2022,Jitendra,8563,1%,Oct,1111.0
371,2022,Others,52973,7%,Oct,4623.0
372,2023,Ola,241836,33%,Oct,23854.0
373,2023,Tvs,141801,20%,Oct,16502.0
374,2023,Ather,82527,11%,Oct,8470.0
375,2023,Bajaj,77286,11%,Oct,9069.0
376,2023,Ampere,49301,7%,Oct,4542.0
377,2023,Okinawa,19532,3%,Oct,1475.0
378,2023,Hero,11447,2%,Oct,666.0
379,2023,Okaya,12146,2%,Oct,874.0
380,2023,Bgauss,10776,1%,Oct,1171.0
381,2023,Battre,4047,1%,Oct,230.0
382,2023,Kinetic,5108,1%,Oct,394.0
383,2023,Revolt,6269,1%,Oct,688.0
384,2023,Others,62060,9%,Oct,7178.0
385,2019,Hero,7865,29%,Nov,859.0
386,2019,Okinawa,10544,39%,Nov,1436.0
387,2019,Ather,2905,11%,Nov,358.0
388,2019,Ampere,2518,9%,Nov,135.0
389,2019,Revolt,1063,4%,Nov,189.0
390,2019,Others,1939,7%,Nov,170.0
391,2020,Hero,15956,36%,Nov,1219.0
392,2020,Okinawa,7129,16%,Nov,664.0
393,2020,Ampere,6095,14%,Nov,655.0
394,2020,Ather,4401,10%,Nov,360.0
395,2020,Revolt,1793,4%,Nov,459.0
396,2020,Bajaj,1470,3%,Nov,253.0
397,2020,Pure,2080,5%,Nov,168.0
398,2020,Being,1151,3%,Nov,91.0
399,2020,Jitendra,639,1%,Nov,56.0
400,2020,Tvs,838,2%,Nov,26.0
401,2020,Others,3251,7%,Nov,237.0
402,2021,Hero,69235,27%,Nov,7457.0
403,2021,Okinawa,47926,19%,Nov,5544.0
404,2021,Ampere,25516,10%,Nov,2078.0
405,2021,Ather,19981,8%,Nov,2203.0
406,2021,Pure,14969,6%,Nov,1688.0
407,2021,Ola,14405,6%,Nov,0.0
408,2021,Tvs,9740,4%,Nov,522.0
409,2021,Revolt,7641,3%,Nov,780.0
410,2021,Bajaj,7114,3%,Nov,728.0
411,2021,Being,7374,3%,Nov,912.0
412,2021,Jitendra,3875,2%,Nov,273.0
413,2021,Others,24865,10%,Nov,2318.0
414,2022,Ola,152779,21%,Nov,16385.0
415,2022,Okinawa,95939,13%,Nov,9070.0
416,2022,Hero,89874,12%,Nov,9028.0
417,2022,Ampere,87392,12%,Nov,12449.0
418,2022,Tvs,82109,11%,Nov,8149.0
419,2022,Ather,76939,11%,Nov,7839.0
420,2022,Bajaj,32805,5%,Nov,3058.0
421,2022,Okaya,13175,2%,Nov,1783.0
422,2022,Revolt,12932,2%,Nov,524.0
423,2022,Pure,11556,2%,Nov,925.0
424,2022,Being,11018,2%,Nov,1216.0
425,2022,Jitendra,8563,1%,Nov,1256.0
426,2022,Others,52973,7%,Nov,5694.0
427,2023,Ola,241836,33%,Nov,29972.0
428,2023,Tvs,141801,20%,Nov,19140.0
429,2023,Ather,82527,11%,Nov,9326.0
430,2023,Bajaj,77286,11%,Nov,11912.0
431,2023,Ampere,49301,7%,Nov,4695.0
432,2023,Okinawa,19532,3%,Nov,1606.0
433,2023,Hero,11447,2%,Nov,824.0
434,2023,Okaya,12146,2%,Nov,1298.0
435,2023,Bgauss,10776,1%,Nov,1607.0
436,2023,Battre,4047,1%,Nov,667.0
437,2023,Kinetic,5108,1%,Nov,427.0
438,2023,Revolt,6269,1%,Nov,671.0
439,2023,Others,62060,9%,Nov,9828.0
440,2019,Hero,7865,29%,Dec,459.0
441,2019,Okinawa,10544,39%,Dec,782.0
442,2019,Ather,2905,11%,Dec,282.0
443,2019,Ampere,2518,9%,Dec,434.0
444,2019,Revolt,1063,4%,Dec,202.0
445,2019,Others,1939,7%,Dec,76.0
446,2020,Hero,15956,36%,Dec,1701.0
447,2020,Okinawa,7129,16%,Dec,626.0
448,2020,Ampere,6095,14%,Dec,942.0
449,2020,Ather,4401,10%,Dec,535.0
450,2020,Revolt,1793,4%,Dec,251.0
451,2020,Bajaj,1470,3%,Dec,184.0
452,2020,Pure,2080,5%,Dec,171.0
453,2020,Being,1151,3%,Dec,124.0
454,2020,Jitendra,639,1%,Dec,88.0
455,2020,Tvs,838,2%,Dec,42.0
456,2020,Others,3251,7%,Dec,284.0
457,2021,Hero,69235,27%,Dec,6407.0
458,2021,Okinawa,47926,19%,Dec,6413.0
